toxic comment link,Project Developer/External User,Type,What is the problem,What happened afterwards,toxic reply link,Additional comment,Priority/Severe
https://github.com/containers/podman/issues/21130#issuecomment-1876266559,External/Author,Toxicity towards tools,The user expressed a toxic commet after a problem was fixed,-,,,-
https://github.com/yt-dlp/yt-dlp/issues/8973#issuecomment-1894690946,External,Identity Attack,The user calls out Elon Musk,The replied also followed by toxic comment.,https://github.com/yt-dlp/yt-dlp/issues/8973#issuecomment-1894694991,The thread talks about Elon paying someone,-
https://github.com/godotengine/godot/issues/87321#issuecomment-1897847522,Internal/Contributor/Author,Unprofessional/self dep,use of word damn,The issue was closed as not planned,,,-
https://github.com/storybookjs/storybook/issues/25739#issuecomment-1911408940,Internal/Member,Entitlement/vulgarity,Use of word sucks. The user expects special behavior from TypeScript,Last comment of the thread. The problem remains unsolved. The issue closed as completed.,,,-
https://github.com/nextcloud/server/issues/43269#issuecomment-1933486086,External,Insult/Entitlement,"""During the time discussed here, an RC could have been released"" - user expecting special behavior",One of the moderators calls out the user. The issue is closed as completed and locked as off-topic. associated PR merged,https://github.com/nextcloud/server/issues/43269#issuecomment-1933628524,One of the moderators calls out the toxic comment author. This call out may come as offensive too.,-
https://github.com/godotengine/godot/issues/88399#issuecomment-1949602336,Internal/Contributor,Unprofessional,The user uses unprofessional word (nasty) to describe a bug,The issue was closed as completed,,,
https://github.com/docker/compose/issues/11510#issuecomment-1954320769,External,Vulgarity/Toxicity towards tools,The user was thinking it was time waste to work on this issue and toxic towards docker-compose,The problem was resolved and the issue was closed as completed.,,,-
https://github.com/alacritty/alacritty/issues/7762#issuecomment-1961496601,External,Entitlement,The user made a rude entitled comment,Another user calls out the rude comment and convent went on until it was closed. The actual problem was resolved,https://github.com/alacritty/alacritty/issues/7762#issuecomment-1962110181,The reply at toxic comment further below,"Severity-priority issue. Severe/priority issue by one of the maintainers (""It's just an open source project, success is completely irrelevant"")"
https://github.com/louislam/uptime-kuma/issues/4526#issuecomment-1962781957,Internal/Collaborator,Toxicity towards tools,The user says they are fed up to notification provider,The issue is  as completed. The problem was fixed in another pull request.,,,-
https://github.com/strapi/strapi/issues/19339#issuecomment-1962854660,External,Vulgarity,Made a vulgar comment due to impatience,The issue is still open and the problem is not resolved,,,"Severity-priority issue.  Users continue to report the severity (""yes its frickin annoying. my whole project is on hold now.). No solution yet"
https://github.com/godotengine/godot/issues/88722#issuecomment-1964644499,Internal/Contributor/Author,Arrogance,The user is forcefully imposing their view on others,"1. Missing documentation
2. Proposes workaround
3. Workaround does not work
4. The issue is still open",,,-
https://github.com/telegramdesktop/tdesktop/issues/27544#issuecomment-1981325730,Internal/Contributor/Author,Unprofessional/self dep,"Damn, i tried probably 5 times and it didn't open. Now you wrote it and it appeared. Beta was always on",The issue was closed as completed and locked as resolved and limited conversation to collaborators,,,-
https://github.com/curl/curl/issues/13126#issuecomment-2009802057,Internal/Member,Insult,The tone of the comment was dismissive and appears as insult.,The problem was resolved in next update. The issue was closed as completed.,,,-
https://github.com/syncthing/syncthing/issues/9482#issuecomment-2019572276,External/Author,Vulgarity,"The use made a vulgar comment: ""WTF happen here?!?!?!""",Bug was not solved (needs triage). The issue is still open,,"There were some reply down the line which expressed negativity: ""I was super annoyed with the issues ..."" https://github.com/syncthing/syncthing/issues/9482#issuecomment-2050647774","Several users mention facing the issue. It remains unsolved. Maintainers reported they tried to look into the issue but could not find it (""There's no lack of looking into it, multiple maintainers did multiple times. I know this doesn't help anyone and isn't a satisfactory update, unfortunately it's the only one I have."")"
https://github.com/wailsapp/wails/issues/3364#issuecomment-2030062694,External/Author,Unprofessional,Use of word 'DAMN',The issue was closed as completed.,,,-
https://github.com/telegramdesktop/tdesktop/issues/27692#issuecomment-2032844293,External/Author,Insult,The user insulted as he felt his submitted bug reports were not appreciated,The issue was closed as not planned and locked as resolved and limited conversation to collaborators,,,Severity-priority issue. User think maintainer does not even acknowledges the bug
https://github.com/sveltejs/svelte/issues/11052#issuecomment-2035288612,Internal/Member,Entitlement,User show entitlement over a bug report,Long thread. Lots of toxic comments followed afterwards. The issue was locked as off-topic and limited to collaborators,https://github.com/sveltejs/svelte/issues/11052#issuecomment-2035338266,There are several toxic comments followed,"Severity acknowedged, problem addressed"
https://github.com/All-Hands-AI/OpenHands/issues/908#issuecomment-2046509777,External/Author,Vulgarity,User made vulgar comment due to impatience,The problem was found and resolved. The issue was closed as completed.,,,-
https://github.com/containers/podman/issues/22190#issuecomment-2051978414,External,Insult/Entitlement,Insulting for workaround solution. The user expressed entitlement by expecting special behavior from the podman project.,The problem remains unsolved. The issue locked as resolved and limited conversation to collaborators.,,,Severity-priority issue. Users think it's much severe. Maintainers provide a workaround which user dismisses as sloppiness and incompetence.
https://github.com/containers/podman/issues/22363#issuecomment-2051995577,External/Author,Entitlement,Entitlement due to technical disagreement,Closed as not planned.  The issue locked as resolved and limited conversation to collaborators.,https://github.com/containers/podman/issues/22363#issuecomment-2052038142,"The reply to toxic comment can be percieved. The tone is dismissive, and confrontational.","Severity-priority issue. 
Maintainer acknowledge the bug but does not plan to address it. (""we have no plans to switch back [...]"")
User commented (""I really don't mean to be total ass about it but that's not how you win market share. [...])"
https://github.com/telegramdesktop/tdesktop/issues/27753#issuecomment-2054129336,External/Author,Vulgarity,People used slangs,The issue was closed as not planned and locked as resolved and limited conversation to collaborators,https://github.com/telegramdesktop/tdesktop/issues/27753#issuecomment-2054130748,Used vulgar words again,-
https://github.com/microsoft/vcpkg/pull/37736#issuecomment-2060657325,Internal/Contributor,Entitlement,"The user show entilement with following comment: ""'IMO this is a disappointing outcome. No reliable guideline for anything but dbus/now. No convergence. No perspective.'""",Pull request was merged,https://github.com/microsoft/vcpkg/pull/37736#issuecomment-2070837138,"The same user follow-up a comment which is mocking the project, can be seen as toxic towards the tool.",-
https://github.com/containers/podman/issues/22439#issuecomment-2066450199,Internal/Member,Frustration/Unprofessional,use of word hell,"Issue was resolved, closed as completed and locked as resolved and limited conversation to collaborators.",,,-
https://github.com/godotengine/godot/issues/91461#issuecomment-2090828365,External/Author,Mocking/Insult,Contributor did not have enough time. They expressed it mockingly which come as insult.,The issue was as completed. The problem was marked as outdated,"https://github.com/godotengine/godot/issues/91461#issuecomment-2091059066

https://github.com/godotengine/godot/issues/91461#issuecomment-2090840744",Multiple toxic replies. Users seemed to be confrontational,-
https://github.com/yt-dlp/yt-dlp/issues/9554#issuecomment-2096970133,External/Author,Mocking,A user calling out another for opening the issue in mocking manner,The problem was addressed in a PR and  resolved. The issue was closed as completed,,,-
https://github.com/ggerganov/llama.cpp/issues/7208#issuecomment-2105245797,External/Author,Unprofessional,"User make an unprofessional comment after making a mistake: ""crap how did i land here.. sorry.. just close it!""",The issue was closed as completed,,,-
https://github.com/neovim/neovim/issues/27859#issuecomment-2105834997,Internal/Member,Insult,Reaction of previous comment. The user felt insulted.,The problem was resolved. The issue had associated PR and it was merged. The issue was closed as resolved.,https://github.com/neovim/neovim/issues/27859#issuecomment-2105880442,The toxic comment followed up a reply with another toxic comment by insulting the same author.,-
https://github.com/ggerganov/llama.cpp/issues/7062#issuecomment-2106129907,External/Author,Insult,Bug report discussion went personal. The user took some bot comments personal.,The discussion derailed to off-topic. The issue was closed as complete and locked as resolved and limited conversation to collaborators.,https://github.com/ggerganov/llama.cpp/issues/7062#issuecomment-2106134186,There reply comes as mocking. It also follows several completely unrelated comments to this specific issue and might be considered toxic,-
https://github.com/microsoft/terminal/issues/17250#issuecomment-2106351258,External/Author,Vulgarity,The user uses vulgar word. The original issue was actually toxic. A moderation enforced CoC. But the issue author replied with vulgar words after editing the original post.,Currently work going on in another PR and it was merged. Issue closed as completed.,,Interesting thread. Actual post was toxic before editing. The moderators enforced CoC. But there was toxic comment by the issue author after editing.,-
https://github.com/kovidgoyal/kitty/issues/7453#issuecomment-2119587650,Internal/Owner,Insult,"The user mocked the original issue author, which comes as insult",Insulting went on. The issue was closed as complete.,https://github.com/kovidgoyal/kitty/issues/7453#issuecomment-2119605901,"Following the original comment, there were more mocking and they came as toxic.",-
https://github.com/strapi/strapi/issues/19674#issuecomment-2127505231,Internal/Member,Frustration,Some memory leak issue,Issue not solved and still open,https://github.com/strapi/strapi/issues/19674#issuecomment-2194037224,,"While the problem severity acknowledged, the problem remains unsolved"
https://github.com/coqui-ai/TTS/issues/3569#issue-2128660232,External/Author/1,Entitlement,The issue post was toxic as user expected special treatment from the project.,The user continued to disagree with other users and there were multiple toxic reply. The issue was closed as completed.,https://github.com/coqui-ai/TTS/issues/3569#issuecomment-1937975283,There were multiple toxic comment in reply,-
https://github.com/telegramdesktop/tdesktop/issues/27938#issuecomment-2129850818,External/Author,Vulgarity,Made a vulgar comment due to impatience,The problem was resolved and the issue was closed as completed and locked as resolved and limited conversation to collaborators,,"A following comment expresses frustration: ""This is beyond a joke ..."" https://github.com/telegramdesktop/tdesktop/issues/27938#issuecomment-2130748176","Severity-priority issue. Users became agitated as it were not addressed (""Can this for the love of god be fixed soon? [...]"")  
While it was resolved, it did not get resolved immediately, wasn't high priority"
https://github.com/telegramdesktop/tdesktop/issues/27952#issuecomment-2132414104,External/Author,Toxicity towards tools,shameful destructive bug' - describe the bug report negatively,The issue was closed as completed and locked as resolved and limited conversation to collaborators,,"Some user later made a negative comment: ""Apparently, this is the reason for this annoying problem."" - https://github.com/telegramdesktop/tdesktop/issues/27952#issuecomment-2133530992",-
https://github.com/curl/curl/issues/13853#issuecomment-2144019004,Internal/Member,Vulgarity,"User initially used ""Fuck You"", which edited later to ""F*** Y**""
User mocking using vulgar word. It seems like a previous comment mention Fuck You which was deleted by the time we collected data.",The problem was resolved and closed as completed.,,,-
https://github.com/strapi/strapi/issues/19980#issuecomment-2154490662,External,Frustration,"The user expressed strong frustration which comes as toxic (""I have strapi"")",The actual problem was not resolved and the issue is still open,,,"Severity acknowedged low, issue remains open"
https://github.com/All-Hands-AI/OpenHands/issues/2369#issuecomment-2159598805,Internal/Collaborator,Unprofessional,use of word damn,The problem was solved in another PR. The issue was closed as completed.,,,-
https://github.com/strapi/strapi/issues/19535#issuecomment-2164382332,External,Vulgarity,Made a vulgar comment due to impatience,The problem was not resolved and the issue is still open.,https://github.com/strapi/strapi/issues/19535#issuecomment-2577470237,"There were a negative reply down the line. It comes as entitled: ""honestly its annoying, if we can give this one priority please""","Severity-priority issue. High-severity acknowdledged, maintainers are working on it to resolve. Some user comment about priority (""still present in 5.4.1 and honestly its annoying, if we can give this one priority please"")"
https://github.com/telegramdesktop/tdesktop/issues/27534#issue-2164757050,External/Author/1,Insult/Toxicity towards tools,"""This is the kind of crap I didn't expect from the most popular messenger ever"" - the user insults the tool",The issue was closed and locked as resolved and limited conversation to collaborators.,,,
https://github.com/telegramdesktop/tdesktop/issues/28060#issuecomment-2174541134,External/Author,Insult,Calling someone idiot,A toxic comment followed immediately. The issue was locked as resolved and limited conversation to collaborators.,https://github.com/telegramdesktop/tdesktop/issues/28060#issuecomment-2174547790,The reply is also toxic despite less severe,"Severity-priority issue. Different priotization issues (""Sorry but I'm not who decides which technology has to be used. And the person who decides believes those issues are too minor to switch."""
https://github.com/Homebrew/brew/issues/16910#issue-2194085454,External/Author/1,Entitlement/Toxicity towards tools,User complain about templated issue threads. The user was also toxic toward Homebrew,The issue was closed as not planned and locked as resolved and limited conversation to collaborators. A member referred CoC as the previous comment was toxic,,Enforced CoC: https://github.com/Homebrew/brew/issues/16910#issuecomment-2006359611,-
https://github.com/containers/podman/issues/23132#issuecomment-2196853885,Internal/Contributor/Author,Vulgarity,User used a word 'Aargh',The problem was solved and the issue was merged in another PR. The issue was closed as completed and locked as resolved and limited conversation to collaborators,,,-
https://github.com/strapi/strapi/issues/20057#issuecomment-2206210788,Internal/Member,Entitlement,The user did not understand some technical problem and was entitled about it.,User was able to reproduct and modified the comment. The problem was resolved and the issue was closed.,,,-
https://github.com/microsoft/winget-cli/issues/4231#issuecomment-2210749024,External,Entitlement,The user feels entitled as Microsoft ignores a bug.,There seem to be multiple toxic comment in reply with accusatory tone. The issue is still open,"https://github.com/microsoft/winget-cli/issues/4231#issuecomment-2210819722

https://github.com/microsoft/winget-cli/issues/4231#issuecomment-2210819722","The issue author accuses ""stop lying to users"" and later call ""idiocy"", ""stupidity""",Severity-priority issue. Severe/priority issue by one of the maintainers dismissed it as a trivial change
https://github.com/godotengine/godot/issues/89136#issuecomment-2212532877,External,Vulgarity/Entitlement,use of word sucks. The user also show entitled view on how they think it should work,The issue is still open,,,Severity-priority issue. Seems like several users face this issue without getting addressed.
https://github.com/nextcloud/server/issues/46113#issuecomment-2218774564,External,Unprofessional/self dep,Use of word 'DAMN',The issue is still open and the problem is not resolved,,,Severity-priority issue.  Seems issue remains unacknowledged despited several users reporting it
https://github.com/microsoft/terminal/issues/17541#issuecomment-2220747599,External/Author,Unprofessional/self dep,use of word dammit,The problem was resolved and closed as completed.,,,-
https://github.com/IceWhaleTech/CasaOS/issues/1763#issue-2222283244,External/Author/1,Toxicity towards tools,The user is toxic towards Docker.,"Other users propose solutions. However, the issue is still open.",,,-
https://github.com/yt-dlp/yt-dlp/issues/10421#issuecomment-2222468304,External/Author,Unprofessional/self dep,use of word darn it,The issue closed as completed.,,,-
https://github.com/kovidgoyal/kitty/issues/7624#issuecomment-2227180193,Internal/Owner,Insult,The user insulted the issue author,There were several toxic comments followed by,"https://github.com/kovidgoyal/kitty/issues/7624#issuecomment-2227183092

https://github.com/kovidgoyal/kitty/issues/7624#issuecomment-2227183886",Maintainer ignored a bug report and made a toxic comment. Which followed by other toxic comments,Severity-priority issue. User think maintainer does not even acknowledges the bug
https://github.com/alacritty/alacritty/issues/8088#issuecomment-2227185663,Internal/Member,Arrogance,The user arrogantly dismisses the suggestions,It prompted another toxic reply. The issue was closed without addressing the issue.,https://github.com/alacritty/alacritty/issues/8088#issuecomment-2227192473,The toxic comment prompted a toxic reply.,"Severity-priority issue. User thinks severe issue, maintainers dismiss it."
https://github.com/ggerganov/llama.cpp/issues/8092#issuecomment-2227275982,Internal/Collaborator,Unprofessional,The user describes the output with unprofessional words,They were able to reproduce. Bug confirmed and fixed. The issue was closed as completed.,,,-
https://github.com/nextauthjs/next-auth/issues/10633#issuecomment-2229947683,Internal/Contributor,Toxicity towards tools,The user calls out nextauth for not having an example/doc.,The issue is still open,,,-
https://github.com/yt-dlp/yt-dlp/issues/10128#issuecomment-2231606787,External,Insult,The author used vulgar word to insult,The issue was locked as too heated and limited conversation to collaborators,,,-
https://github.com/facebook/react/issues/28584#issuecomment-2233513640,External,Insult,The user describes the problem in the issue with insult,The issue remains open and the problem persists,https://github.com/facebook/react/issues/28584#issuecomment-2274047823,The reply and toxic comment both were due to impatience over not solving the problem in the issue,"Severity-priority issue. User thinks severe issue, maintainers don't prioritize it"
https://github.com/microsoft/terminal/issues/17056#issue-2241323456,External/Author/1,Insult,The title throws insult towards the developers,Closed as not planned.,,,-
https://github.com/ohmyzsh/ohmyzsh/issues/12582#issuecomment-2254210806,Internal/Member,Threat,There were some deleted comment. A member of the project banned someone else.,The issue went off-topic. The banned was removed after talking offline.,,,-
https://github.com/yt-dlp/yt-dlp/issues/10583#issuecomment-2254777581,External/Author,Insult,"The user make an insulting comment: ""Damn, that's a shame"""," The issue closed as completed. However, a member asked to open new issue.",,,-
https://github.com/remix-run/remix/issues/8943#issuecomment-2263408184,External,Vulgarity,use of word sucks,The issue was closed as completed.,,,-
https://github.com/yt-dlp/yt-dlp/pull/10457#issuecomment-2264183781,External,Mocking/Vulgarity,The user uses profane words mockingly to address a person.,Pull request was merged,,,-
https://github.com/nextauthjs/next-auth/issues/11076#issuecomment-2276024812,External,Vulgarity,The user used 'sucks' to describe a situation,The issue is stiil open. Some workaround/solution suggested. It worked for some users and didn't work for others. Some users reported the problem is fixed.,,,Severity-priority issue. Users continue to report facting the issue. Workarounds didn't solve
https://github.com/vercel/turborepo/issues/8491#issuecomment-2282199695,External,Insult,"""man this is just boring"" - insulted other",The issue seemed to closed as completed.,https://github.com/vercel/turborepo/issues/8491#issuecomment-2289066038,The toxic comment was followed by another toxic comment immediately,"Severe issue as reported by several users. 
Seems like maintainers fixed it.
But users continue to face the issue"
https://github.com/ohmyzsh/ohmyzsh/issues/12400#issue-2283983747,External/Author/1,Profane Naming,"The comment has a usage of plugin, which name is 'thefuck'. ",-,,We note were that the comment itself may not be toxic if the tool name was not profane.,-
https://github.com/microsoft/terminal/issues/17238#issue-2290187308,External/Author/1,Profane Naming,The user points out using Vulgar words in code is not appropriate.,closed this as not planned,,We note were that the comment itself may not be toxic if the tool name was not profane.,-
https://github.com/kovidgoyal/kitty/issues/7730#issuecomment-2294894094,External/Author,Unprofessional/self dep,use of word darn it,The user make a mistake and closed the issue,,,-
https://github.com/oven-sh/bun/issues/13410#issuecomment-2298033082,External/Author,Unprofessional/self dep,use of word damn,,,,-
https://github.com/microsoft/terminal/issues/17698#issuecomment-2299306135,External/Author,Unprofessional/self dep,use of word damn,The problem was resolved and closed as completed.,,,-
https://github.com/syncthing/syncthing/issues/9554#issue-2308413582,External/Author/1,Vulgarity,Use of pharse fucking shit in title,Issue closed as not planned,,,-
https://github.com/nextauthjs/next-auth/issues/9900#issuecomment-2311505263,External,Entitlement,The user shows entitlement on how to use next-auth login credentials,Issue closed but problem does not seem to be solved for everyone,,,"Severity-priority issue. 
Documentation is confusing.
Users talked about being frustrated about the issue.
A Maintainer closed without addressing the root-cause and users continue to report."
https://github.com/Homebrew/brew/issues/17363#issue-2317033690,External/Author/1,Insult/Toxicity towards tools,"Uses ""WTF"" in the title. Insult others. Uses phrases like ""bloody packages""",A member enfoced CoC and banned them. The issue was closed and locked as resolved and limited conversation to collaborators. The actual problem was resolved,,Enfoced CoC and banned them: https://github.com/Homebrew/brew/issues/17363#issuecomment-2131363414,-
https://github.com/photoprism/photoprism/issues/4315#issue-2329883544,External/Author/1,Mocking,User mocked installing the software in a platform,The issue was closed as it was tagged invalid,https://github.com/photoprism/photoprism/issues/4315#issuecomment-2144212113,The toxic reply was mocking,-
https://github.com/telegramdesktop/tdesktop/issues/28352#issuecomment-2331174856,External/Author,Vulgarity,Make a vulgar comment by calling out the logic,The issue was closed as completed and locked as resolved and limited conversation to collaborators,,,-
https://github.com/kovidgoyal/kitty/issues/7870#issuecomment-2358586458,Internal/Owner,Entitlement,The author of the repository expressed entitlement.,The issue was closed as complete. The issue seemed to be resolved,https://github.com/kovidgoyal/kitty/issues/7870#issuecomment-2358904627,There were multiple toxic comments following the initial toxic comment,Severity-priority issue. Maintainer did not even acknowledge the bug
https://github.com/ggerganov/llama.cpp/issues/9583#issuecomment-2365412522,Internal/Contributor/Author,Unprofessional,use of word darn it,The issue was closed due to inactivity,,,-
https://github.com/flutter/flutter/issues/153628#issuecomment-2369799203,External/Author,Entitlement,The user thinks he is not appreciated,The issue remains open and the discussion is ongoing,https://github.com/flutter/flutter/issues/153628#issuecomment-2371520567,"While the reply is not overly toxic, it comes as dismissive and passive-agressive.",-
https://github.com/dokku/dokku/issues/7061#issuecomment-2381436069,Internal/Contributor,Toxicity towards tools,The user use word crap to describe docker,The issue closed as completed. The problem was followed up in another thread.,,,-
https://github.com/appwrite/appwrite/issues/8725#issuecomment-2385651267,External/Author,Unprofessional/self dep,use of word damn,-,,,-
https://github.com/python-poetry/poetry/issues/9640#issuecomment-2392002633,External,Insult,"The wording comes as insult: ""I will spare you ...""",The problem was resolved. The issue was closed as completed and locked as resolved and limited conversation to collaborators,,,-
https://github.com/angular/angular/issues/55854#issuecomment-2393818625,External,Unprofessional/self dep,Use of word damn,The problem remains unsolved.,,,-
https://github.com/All-Hands-AI/OpenHands/issues/3852#issue-2523677969,External/Author/1,Vulgarity/Toxicity towards tools,Insulting towards tools using vulgar words,The issue closed as not planned,https://github.com/All-Hands-AI/OpenHands/issues/3852#issuecomment-2347897989,The reply was by the same user who was still toxic towards the tool issue,-